,Station_ID,Station_Name_x,Station_Name_y,Community_Areas
108,40650,North-Clybourn,North-Clybourn,37.0
109,40400,Noyes,Noyes,
110,40890,O'Hare Airport,O'Hare,75.0
111,40180,Oak Park-Forest Park,Oak Park,
112,41350,Oak Park-Lake,Oak Park,
113,41680,Oakton-Skokie,Oakton-Skokie,
114,41310,Paulina,Paulina,57.0
115,41030,Polk,Polk,29.0
116,40150,Pulaski-Cermak,Pulaski,30.0
117,40920,Pulaski-Forest Park,Pulaski,27.0
118,40030,Pulaski-Lake,Pulaski,27.0
119,40960,Pulaski-Orange,Pulaski,60.0
120,40040,Quincy-Wells,Quincy-Wells,38.0
121,40470,Racine,Racine,29.0
122,40200,Randolph-Wabash,,
123,40610,Ridgeland,Ridgeland,
124,41010,Rockwell,Rockwell,6.0
125,41400,Roosevelt,Roosevelt,34.0
126,40820,Rosemont,Rosemont,
127,40800,Sedgwick,Sedgwick,37.0
128,40080,Sheridan,Sheridan,57.0
129,40840,South Boulevard,South Boulevard,
130,40360,Southport,Southport,57.0
131,40190,Sox-35th-Dan Ryan,Sox-35th,35.0
132,40260,State-Lake,State-Lake,38.0
133,40880,Thorndale,Thorndale,76.0
134,40350,UIC-Halsted,UIC-Halsted,29.0
135,40370,Washington-Dearborn,Washington,38.0
136,40500,Washington-State,,
137,41700,Washington-Wabash,Washington-Wabash,38.0
138,40730,Washington-Wells,Washington-Wells,38.0
139,41210,Wellington,Wellington,57.0
140,41480,Western-Brown,Western,6.0
141,40740,Western-Cermak,Western,33.0
142,40220,Western-Forest Park,Western,29.0
143,40670,Western-Milwaukee,Western,23.0
144,40310,Western-Orange,Western,61.0
145,40540,Wilson,Wilson,31.0
